CIDADE:Pirassununga | COMUM: | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:raphael | INSTRUMENTO: | NOME ANCIAO: | NOME COOPERA: | NOME ENC.:;
CIDADE:Pirassununga | COMUM: | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:raphael | INSTRUMENTO: | NOME ANCIAO: | NOME COOPERA: | NOME ENC.:;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Araras | COMUM:jhkhkj | TIPO DE EXAME:OFI_MUS | NOME DO CANDIDATO:kjlkjlkjlk | INSTRUMENTO:lkjlkjlk | NOME ANCIAO:kjhjkhkj | NOME COOPERA:ljlkjlkj | NOME ENC.:lkjlkj;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Leme | COMUM:teswte | TIPO DE EXAME:CUL_ORG | NOME DO CANDIDATO:asfasdf | INSTRUMENTO:asdfad | NOME ANCIAO:asdfasd | NOME COOPERA:asdfas | NOME ENC.:asdfad;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asd | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asd | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asd | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asd | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asd | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
CIDADE:Pirassununga | COMUM:teasdf | TIPO DE EXAME:RJM_ORG | NOME DO CANDIDATO:asdasdfasdf | INSTRUMENTO:asdf | NOME ANCIAO:asdfasdf | NOME COOPERA:asdf | NOME ENC.:asdf;
